ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV075070484,381621,51.302609,7.013602,W³lfrath,42489,42,DE,1,AIR,100,AIR,303,0,0,797888,0,1000,C,EUR,-999
SV075064773,232392,51.278847,9.443371,Kassel,34132,34,DE,1,AIR,100,AIR,303,0,0,1715003,0,5000,C,EUR,-999
SV075529803,429590,52.741554,13.23798,Oranienburg,16515,16,DE,1,AIR,100,AIR,303,0,0,547665,0,2500,C,EUR,-999
SV074759028,338548,52.541019,13.143315,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,565760,0,2500,C,EUR,-999
SV074693670,394266,52.305694,8.047566,Osnabr³ck,49090,49,DE,1,AIR,100,AIR,303,0,0,635005,0,5000,C,EUR,-999
SV074693670,204326,52.30413,8.045566,Osnabr³ck,49090,49,DE,1,AIR,100,AIR,303,0,0,611766.5,0,5000,C,EUR,-999
SV074693670,203930,52.276383,8.08034,Osnabr³ck,49084,49,DE,1,AIR,100,AIR,303,0,0,541865.5,0,5000,C,EUR,-999
SV074693670,394199,52.277054,8.082094,Osnabr³ck,49084,49,DE,1,AIR,100,AIR,303,0,0,509423,0,5000,C,EUR,-999
SV074693670,394058,51.535649,9.901823,G÷ttingen,37081,37,DE,1,AIR,100,AIR,303,0,0,537548.5,0,5000,C,EUR,-999
SV075064780,232997,52.47601,13.37487,Berlin,12101,12,DE,1,AIR,100,AIR,303,0,0,1635386,0,5000,C,EUR,-999
SV075064791,233440,53.378479,10.545343,Lauenburg,21481,21,DE,1,AIR,100,AIR,303,0,0,1269753,0,5000,C,EUR,-999
SV075064791,233442,53.38021,10.536048,Lauenburg,21481,21,DE,1,AIR,100,AIR,303,0,0,1396019,0,5000,C,EUR,-999
SV075064791,233473,53.37544,10.570474,Lauenburg,21481,21,DE,1,AIR,100,AIR,303,0,0,898051,0,5000,C,EUR,-999
SV075524000,424876,53.169717,13.747492,Gerswalde,17268,17,DE,1,AIR,100,AIR,303,0,0,1174320,0,5000,C,EUR,-999
SV075545795,436943,49.459311,8.405276,Ludwigshafen,67067,67,DE,1,AIR,100,AIR,303,0,0,79635.25,0,1000,C,EUR,-999
SV074737548,314246,51.869143,13.411852,Dahme,15936,15,DE,1,AIR,100,AIR,303,0,0,1196832,0,2500,C,EUR,-999
SV074611196,217372,51.527897,7.411729,Dortmund,44369,44,DE,1,AIR,100,AIR,303,0,0,917571,0,5000,C,EUR,-999
SV074611196,217378,51.443633,7.016908,Essen,45128,45,DE,1,AIR,100,AIR,303,0,0,3285589,0,5000,C,EUR,-999
SV074611196,217466,48.794175,11.768805,Neustadt,93333,93,DE,1,AIR,100,AIR,303,0,0,438952,0,5000,C,EUR,-999
SV074929197,225719,51.33178,12.40573,Leipzig,04317,04,DE,1,AIR,100,AIR,303,0,0,1874695,0,5000,C,EUR,-999
SV074929197,225744,51.355144,12.414528,Leipzig,04347,04,DE,1,AIR,100,AIR,303,0,0,1625754,0,5000,C,EUR,-999
SV074929197,225776,51.353917,12.412021,Leipzig,04347,04,DE,1,AIR,100,AIR,303,0,0,1574775,0,5000,C,EUR,-999
SV075597952,419730,51.292885,9.519295,Kassel,34123,34,DE,1,AIR,100,AIR,303,0,0,1503712,0,2500,C,EUR,-999
SV075597952,419837,51.342228,9.546389,Kassel,34125,34,DE,1,AIR,100,AIR,303,0,0,569920,0,2500,C,EUR,-999
SV075527324,434298,52.559212,13.089495,Falkensee,14612,14,DE,1,AIR,100,AIR,303,0,0,1254650,0,2500,C,EUR,-999
SV075064796,226185,53.872451,10.684258,L³beck,23552,23,DE,1,AIR,100,AIR,303,0,0,509708,0,5000,C,EUR,-999
SV074497205,347837,48.188142,11.543244,M³nchen,80809,80,DE,1,AIR,100,AIR,303,0,0,5564490.5,0,500,C,EUR,-999
SV074497205,347880,48.101895,11.624834,M³nchen,81737,81,DE,1,AIR,100,AIR,303,0,0,4104988.75,0,500,C,EUR,-999
